title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,source
Unstoppable,Sia,4W7uMjg5a9ZqgNZzpY6ekk,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,4W7uMjg5a9ZqgNZzpY6ekk,spotify:track:4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/tracks/4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/audio-analysis/4W7uMjg5a9ZqgNZzpY6ekk,217747,4,H
What My World Spins Around,Jordan Davis,0LaZ4n2gyWeO4kFtzpHQ5M,0.661,0.885,4,-4.25,1,0.0348,0.128,0.0,0.315,0.848,103.976,audio_features,0LaZ4n2gyWeO4kFtzpHQ5M,spotify:track:0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/tracks/0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/audio-analysis/0LaZ4n2gyWeO4kFtzpHQ5M,161553,4,H
Sunroof,Nicky Youre & dazy,7djmGGWiUoMu9YmWEHrELO,0.815,0.661,10,-5.056,1,0.0372,0.176,0.0,0.103,0.651,131.474,audio_features,7djmGGWiUoMu9YmWEHrELO,spotify:track:7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/tracks/7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/audio-analysis/7djmGGWiUoMu9YmWEHrELO,169654,4,H
I Ain't Worried,OneRepublic,73PAbYaVbnFG0tQ4aBfxeN,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,73PAbYaVbnFG0tQ4aBfxeN,spotify:track:73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/tracks/73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/audio-analysis/73PAbYaVbnFG0tQ4aBfxeN,148486,4,H
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,57IdGqRTGESDyidR9uUSOB,spotify:track:57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/tracks/57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/audio-analysis/57IdGqRTGESDyidR9uUSOB,191822,4,H
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6,0.345,0.251,9,-14.902,1,0.0406,0.822,0.0993,0.0925,0.143,177.891,audio_features,1Jb0BvBueT6TBcZKIRWoJ6,spotify:track:1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/tracks/1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/audio-analysis/1Jb0BvBueT6TBcZKIRWoJ6,195515,4,H
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7,0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,140.92,audio_features,4NfwBgmzmzx8WpyIy9C6p7,spotify:track:4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/tracks/4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/audio-analysis/4NfwBgmzmzx8WpyIy9C6p7,391467,4,H
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT,0.667,0.678,10,-7.74,0,0.032,0.0332,0.0,0.163,0.539,129.31,audio_features,1QnWNMc9ZSTLuAwhXzTYQT,spotify:track:1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/tracks/1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/audio-analysis/1QnWNMc9ZSTLuAwhXzTYQT,129849,4,H
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F,0.504,0.513,0,-7.48,1,0.0277,0.129,0.0,0.685,0.0941,112.984,audio_features,4VWVupm8eU3Njc7YIQHs0F,spotify:track:4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/tracks/4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/audio-analysis/4VWVupm8eU3Njc7YIQHs0F,373267,4,H
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN,0.159,0.137,0,-15.02,1,0.0369,0.603,0.918,0.108,0.0399,138.581,audio_features,6TQrhZOWTPmG1mESeDRyEN,spotify:track:6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/tracks/6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/audio-analysis/6TQrhZOWTPmG1mESeDRyEN,224520,4,H
